,area_type,availability,location,size,society,total_sqft,bath,balcony,price
47,Super built-up  Area,20-Sep,AS Rao Nagar,2 BHK,Goted U,1459,2.0,1.0,94.82
50,Super built-up  Area,Ready To Move,Mallampet,2 BHK,Bhncyis,1270,2.0,1.0,50.0
51,Super built-up  Area,18-Mar,Nanakramguda,3 BHK,Rosha I,1670,3.0,1.0,99.0
52,Built-up  Area,Ready To Move,Mallampet,3 BHK,Suent V,2010,3.0,2.0,91.0
53,Super built-up  Area,Ready To Move,Attapur,2 BHK,RothaVa,1185,2.0,2.0,75.0
54,Super built-up  Area,Ready To Move,Alwal,3 BHK,NCowsar,1600,2.0,3.0,75.0
55,Super built-up  Area,Ready To Move,Nanakramguda,2 BHK,Dhalsh ,1200,2.0,2.0,44.0
57,Super built-up  Area,Ready To Move,Nizampet,2 BHK,PeBayle,1500,2.0,2.0,185.0
61,Super built-up  Area,Ready To Move,Manikonda,2 BHK,Laavevi,845,2.0,1.0,55.0
62,Plot  Area,Ready To Move,Puppalaguda,4 Bedroom,Chranya,5700,5.0,3.0,650.0
63,Built-up  Area,Ready To Move,Kompally,2 BHK,HioraTr,1160,2.0,2.0,44.0
66,Super built-up  Area,18-Apr,Pocharam,2 BHK,BMineis,1140,2.0,3.0,43.0
71,Super built-up  Area,20-Aug,Manikonda,2 BHK,Pruthg ,1358,2.0,1.0,80.58
72,Super built-up  Area,Ready To Move,Masab Tank,3 BHK,Sonosty,1569,3.0,1.0,101.0
73,Super built-up  Area,18-Apr,Miyapur,2 BHK,SNnia E,1240,2.0,1.0,70.0
74,Super built-up  Area,Ready To Move,Kondapur,3 BHK,Anavi B,2089,3.0,2.0,140.0
77,Built-up  Area,Ready To Move,Uppal Kalan,3 BHK,Viony H,2511,3.0,3.0,205.0
80,Super built-up  Area,Ready To Move,Miyapur,3 BHK,AdentEl,1660,2.0,2.0,105.0
82,Super built-up  Area,19-Mar,Rajendra Nagar,2 BHK,Niareum,1326,2.0,2.0,78.0
84,Super built-up  Area,Ready To Move,Beeramguda,3 BHK,SJlynro,1499,5.0,2.0,102.0
87,Super built-up  Area,17-Sep,Bachupally,2 BHK,Tavenew,708,2.0,2.0,37.0
88,Super built-up  Area,Ready To Move,Toli Chowki,2 BHK,Srire S,1060,2.0,2.0,58.06
90,Built-up  Area,Ready To Move,Nanakramguda,2 BHK,Saenti ,1000,2.0,2.0,70.0
94,Super built-up  Area,17-Aug,Kondapur,2 BHK,Bhmesy ,1296,2.0,3.0,80.0
96,Plot  Area,Ready To Move,Kistareddypet,4 Bedroom,Goardth,2894,4.0,1.0,245.0
100,Super built-up  Area,Ready To Move,Shaikpet,3 BHK,IBityin,2502,3.0,3.0,138.0
101,Built-up  Area,Ready To Move,Amberpet,2 BHK,KHityry,650,1.0,1.0,17.0
102,Plot  Area,Ready To Move,Kokapet,3 Bedroom,BDensar,2400,2.0,1.0,150.0
103,Super built-up  Area,Ready To Move,Hitech City,2 BHK,Makeser,1007,2.0,2.0,43.0
104,Super built-up  Area,Ready To Move,Nagole,2 BHK,Maest N,1200,2.0,2.0,50.0
107,Built-up  Area,Ready To Move,AS Rao Nagar,3 BHK,Brway G,1640,3.0,2.0,229.0
109,Super built-up  Area,19-Apr,Kapra,2 BHK,Oznuean,1260,2.0,2.0,66.78
111,Super built-up  Area,Ready To Move,West Marredpally,3 BHK,Reeroce,1413,2.0,2.0,75.0
112,Super built-up  Area,Ready To Move,Puppalaguda,2 BHK,Sonviik,1116,2.0,1.0,51.91
113,Super built-up  Area,Ready To Move,Trimalgherry,3 BHK,DSgmax ,1530,2.0,1.0,45.9
115,Built-up  Area,Ready To Move,Sanath Nagar,3 Bedroom,Cetattu,2497,3.0,2.0,140.0
116,Super built-up  Area,Ready To Move,Darga Khaliz Khan,3 BHK,Vaens G,1540,2.0,3.0,64.0
120,Super built-up  Area,Ready To Move,Nizampet,3 BHK,Moity S,1427,3.0,2.0,120.0
121,Super built-up  Area,Ready To Move,Nizampet,3 BHK,HiahsLa,2061,3.0,1.0,200.0
122,Super built-up  Area,18-Mar,Nizampet,4 BHK,SNontle,3067 - 8156,4.0,0.0,477.0
124,Super built-up  Area,22-Dec,Nizampet,3 BHK,Sabixtt,1282,2.0,2.0,68.52
126,Built-up  Area,Ready To Move,Nizampet,3 BHK,Sragei ,1600,3.0,2.0,65.0
128,Super built-up  Area,Ready To Move,Nizampet,2 BHK,SyidaCr,1500,2.0,1.0,78.0
130,Built-up  Area,Ready To Move,Nizampet,3 BHK,Jahts H,1870,3.0,3.0,110.0
131,Plot  Area,Ready To Move,Manikonda,3 Bedroom,Inensba,1600,3.0,1.0,75.0
132,Super built-up  Area,Ready To Move,Manikonda,2 BHK,Itelaa ,880,1.0,1.0,16.5
134,Super built-up  Area,Ready To Move,Manikonda,3 BHK,Srier P,1535,3.0,2.0,83.0
135,Built-up  Area,Ready To Move,Manikonda,2 BHK,Wiowsri,950,2.0,1.0,57.0
136,Super built-up  Area,18-Aug,Manikonda,2 BHK,Derdsig,1360,2.0,1.0,65.0
137,Super built-up  Area,19-Mar,Manikonda,2 BHK,Vaarech,1042 - 1105,2.0,0.0,54.005
139,Super built-up  Area,19-Jan,Manikonda,3 BHK,TiaksAa,1260,2.0,2.0,85.05
141,Super built-up  Area,19-Dec,Manikonda,5 BHK,LedorSa,3050,5.0,1.0,213.0
142,Super built-up  Area,Ready To Move,Manikonda,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0
144,Super built-up  Area,17-Jul,Manikonda,2 BHK,ViensRK,1167,2.0,1.0,43.76
147,Super built-up  Area,Ready To Move,Manikonda,2 BHK,HoiewLa,890,2.0,1.0,35.0
148,Super built-up  Area,Ready To Move,Manikonda,3 BHK,Dwity T,1612,3.0,3.0,46.74
150,Super built-up  Area,19-Apr,Kothaguda,3 BHK,Brama P,1710,4.0,2.0,91.31
151,Super built-up  Area,Ready To Move,Kompally,2 BHK,VBownre,957,2.0,1.0,58.0
154,Super built-up  Area,Ready To Move,Tellapur,2 BHK,Prcan P,1125,2.0,2.0,50.0
155,Super built-up  Area,18-Jul,Tellapur,2 BHK,Sryalan,1020,2.0,1.0,30.6
157,Super built-up  Area,Ready To Move,Sanath Nagar,3 BHK,Soitya ,1735,3.0,3.0,135.0
158,Super built-up  Area,Ready To Move,Manikonda,3 BHK,G conTh,2050,3.0,1.0,145.0
161,Super built-up  Area,18-May,Kukatpally,2 BHK,SStusan,1063,2.0,1.0,32.0
162,Super built-up  Area,Ready To Move,Nizampet,3 BHK,ETens G,1904,3.0,1.0,150.0
164,Super built-up  Area,Ready To Move,Gachibowli,3 BHK,Hohnari,2000,3.0,1.0,175.0
165,Super built-up  Area,18-Dec,Gachibowli,2 BHK,Kinuerg,1145 - 1340,2.0,0.0,43.49
166,Super built-up  Area,Ready To Move,Gachibowli,3 BHK,Naods W,1425,2.0,2.0,75.0
167,Super built-up  Area,Ready To Move,Gachibowli,3 BHK,GMown E,1500,2.0,1.0,64.5
168,Built-up  Area,Ready To Move,Gachibowli,2 BHK,GMown E,1060,2.0,1.0,60.0
169,Built-up  Area,Ready To Move,Gachibowli,3 BHK,Sancyra,1470,2.0,2.0,70.0
171,Super built-up  Area,Ready To Move,Gachibowli,1 BHK,Jae 1hu,450,1.0,1.0,11.0
172,Super built-up  Area,18-Apr,Moosapet,2 BHK,Prarkun,1152,2.0,1.0,64.5
173,Super built-up  Area,Ready To Move,Balanagar,3 BHK,GMown E,1350,2.0,1.0,56.0
174,Super built-up  Area,Ready To Move,Kokapet,3 BHK,Srshq T,1550,3.0,3.0,65.0
178,Super built-up  Area,Ready To Move,Kokapet,1 BHK,Utntspa,705,1.0,2.0,67.0
179,Built-up  Area,Ready To Move,Kokapet,2 BHK,GMown E,770,1.0,1.0,36.0
180,Super built-up  Area,Ready To Move,Kokapet,2 BHK,Aniona ,1242,2.0,3.0,51.0
181,Super built-up  Area,Ready To Move,Kokapet,3 BHK,Goateds,1700,3.0,2.0,155.0
182,Super built-up  Area,Ready To Move,Kokapet,3 BHK,Soitya ,2144,3.0,2.0,145.0
183,Super built-up  Area,21-Jun,Jubilee Hills,3 BHK,Saahaat,1704,3.0,2.0,110.0
184,Super built-up  Area,Ready To Move,Kokapet,2 BHK,GMown E,1070,2.0,1.0,52.0
187,Built-up  Area,Ready To Move,Tellapur,2 BHK,GMown E,1025,2.0,1.0,46.0
188,Super built-up  Area,Ready To Move,Narsingi,2 BHK,MCvarar,1015 - 1540,2.0,0.0,56.8
189,Super built-up  Area,Ready To Move,Narsingi,2 BHK,VRave E,1200,2.0,2.0,52.0
191,Super built-up  Area,Ready To Move,raidurgam,3 BHK,MaidoPl,1550,2.0,3.0,80.0
194,Super built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,2 BHK,Aiitya ,1200,2.0,2.0,60.0
195,Super built-up  Area,Ready To Move,Banjara Hills,2 BHK,PuziaVe,1327,2.0,2.0,98.0
198,Super built-up  Area,Ready To Move,Miyapur,3 BHK,NRosete,1400,3.0,2.0,56.0
202,Built-up  Area,Ready To Move,Miyapur,2 BHK,Sancya ,1225,2.0,2.0,47.6
204,Built-up  Area,Ready To Move,Murad Nagar,3 BHK,MSingco,1260,2.0,2.0,54.0
205,Super built-up  Area,Ready To Move,Tellapur,3 BHK,Pyikad ,1282,2.0,2.0,48.7
206,Super built-up  Area,Ready To Move,Puppalaguda,3 BHK,CaIRSCr,1909,3.0,2.0,88.0
207,Super built-up  Area,Ready To Move,Tellapur,2 BHK,Prcesvy,1359,2.0,1.0,87.0
211,Super built-up  Area,Ready To Move,Chandanagar,3 BHK,Emstael,1595,3.0,2.0,65.0
213,Super built-up  Area,Ready To Move,Nizampet,3 BHK,SNdri N,1475,3.0,2.0,78.29
214,Super built-up  Area,Ready To Move,Hitech City,3 BHK,HodhiSa,1580,3.0,3.0,100.0
215,Super built-up  Area,Ready To Move,Manikonda,2 BHK,Syonyph,1295,2.0,1.0,65.0
217,Super built-up  Area,Ready To Move,Nizampet,1 BHK,Itvir M,589,1.0,1.0,27.0
219,Super built-up  Area,18-Dec,Nizampet,3 BHK,Klark L,1787,3.0,2.0,98.29
220,Super built-up  Area,Ready To Move,Chandanagar,3 BHK,Klark L,1787,3.0,2.0,125.0
221,Super built-up  Area,Ready To Move,Nizampet,3 BHK,Piityra,1475,2.0,3.0,90.0
223,Super built-up  Area,19-Mar,Hitech City,2 BHK,AsastDe,984,2.0,1.0,44.28
225,Super built-up  Area,Ready To Move,Nizampet,3 BHK,MacleK ,2405,4.0,2.0,260.0
226,Built-up  Area,Ready To Move,Nizampet,2 BHK,Brnia G,1080,2.0,2.0,72.0
230,Super built-up  Area,Ready To Move,Nizampet,2 BHK,PrityTr,1153,2.0,2.0,56.4
231,Super built-up  Area,Ready To Move,Nizampet,2 BHK,AlEcone,1148,2.0,2.0,60.0
232,Super built-up  Area,Ready To Move,Nizampet,2 BHK,Laowsba,1110,2.0,2.0,55.0
233,Built-up  Area,Ready To Move,Kukatpally,2 BHK,Saave R,1100,2.0,2.0,42.0
234,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,Anave S,1290,2.0,2.0,110.0
237,Super built-up  Area,21-Jun,East Marredpally,3 BHK,Saityat,1933,3.0,1.0,129.0
240,Super built-up  Area,18-Aug,Mallampet,1 BHK,SunceEs,645,1.0,1.0,16.45
242,Super built-up  Area,18-Sep,Banjara Hills,1 BHK,SunceEs,645,1.0,1.0,16.45
243,Super built-up  Area,Ready To Move,Hitech City,3 BHK,SJcerpe,1644,3.0,3.0,84.0
244,Super built-up  Area,Ready To Move,Manikonda,2 BHK,Supams ,1285,2.0,3.0,72.5
246,Super built-up  Area,Ready To Move,Aminpur,2 BHK,CoapeSo,910,2.0,1.0,40.0
247,Super built-up  Area,Ready To Move,Aminpur,3 BHK,Bisic C,1577,3.0,1.0,70.0
248,Plot  Area,17-May,Aminpur,3 Bedroom,Sreat R,4050,3.0,2.0,280.0
249,Super built-up  Area,Ready To Move,Aminpur,3 BHK,Inntsa ,2420,3.0,2.0,185.0
250,Super built-up  Area,Ready To Move,Aminpur,2 BHK,KHityry,800,1.0,1.0,20.0
252,Super built-up  Area,Ready To Move,Aminpur,2 BHK,BriumMi,1270,2.0,2.0,93.0
257,Super built-up  Area,17-Jun,Aminpur,2 BHK,Prarkun,1108,2.0,1.0,63.0
259,Super built-up  Area,Ready To Move,Mallampet,3 BHK,Calyxy ,3045,3.0,2.0,170.0
260,Plot  Area,Ready To Move,Mallampet,4 Bedroom,Thessrm,2900,3.0,2.0,300.0
261,Super built-up  Area,Ready To Move,Mallampet,3 BHK,JJortom,1500,3.0,2.0,75.5
262,Super built-up  Area,Ready To Move,Mallampet,2 BHK,GrrvaGr,1295,2.0,2.0,43.9
263,Super built-up  Area,Ready To Move,Kondapur,2 BHK,PrityTr,1162,2.0,1.0,59.9
264,Super built-up  Area,Ready To Move,Aminpur,2 BHK,Usquaya,1035,2.0,2.0,49.2
265,Built-up  Area,Ready To Move,Kondapur,4 Bedroom,Natic T,1600,4.0,0.0,52.8
267,Super built-up  Area,18-Oct,Mallampet,3 BHK,DSapeSk,1866,2.0,2.0,61.58
268,Super built-up  Area,Ready To Move,Tellapur,2 BHK,Jahtsa ,700,1.0,1.0,26.0
269,Super built-up  Area,Ready To Move,Manikonda,3 BHK,Prillot,1804,3.0,2.0,120.0
271,Super built-up  Area,21-Dec,Mallapur,3 BHK,Sodgere,1868,3.0,2.0,131.0
275,Super built-up  Area,Ready To Move,Mallampet,3 BHK,SoitaCa,2026,3.0,2.0,132.0
276,Super built-up  Area,Ready To Move,Mallampet,2 BHK,Soestin,1210,2.0,1.0,80.9
277,Plot  Area,Ready To Move,Kondapur,4 Bedroom,Sreat R,4111,4.0,2.0,250.0
278,Super built-up  Area,Ready To Move,Alwal,3 BHK,Alestrb,1762,3.0,3.0,91.45
279,Super built-up  Area,Ready To Move,Gajularamaram,3 BHK,DLhtsen,1252,3.0,3.0,55.0
280,Built-up  Area,Ready To Move,Serilingampally,2 BHK,Mauner ,861,2.0,1.0,34.5
281,Built-up  Area,Ready To Move,Gajularamaram,3 BHK,Brnia G,1420,2.0,1.0,100.0
283,Built-up  Area,Ready To Move,Kukatpally,3 BHK,GaicaVe,1490,3.0,1.0,78.8
285,Super built-up  Area,18-Aug,East Marredpally,3 BHK,Saesttt,1425,2.0,2.0,94.0
286,Built-up  Area,Ready To Move,Hitech City,2 BHK,Nae 2El,1200,2.0,1.0,40.0
288,Super built-up  Area,Ready To Move,Serilingampally,2 BHK,Bhinglv,1084,2.0,2.0,50.0
289,Super built-up  Area,18-Jul,West Marredpally,2 BHK,SunceEs,1015,2.0,2.0,25.88
290,Super built-up  Area,21-May,West Marredpally,2 BHK,GolusLi,1017,2.0,1.0,51.25
292,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,Coush W,1069,2.0,2.0,45.0
293,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,Prersis,1349,2.0,1.0,98.2
294,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,NaensGa,1005,2.0,1.0,50.0
295,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,Arzzo P,1417,2.0,3.0,75.0
297,Carpet  Area,Ready To Move,Kondapur,2 BHK,SMikaay,950,2.0,2.0,47.0
298,Super built-up  Area,Ready To Move,Kondapur,4 BHK,Prave E,2000,4.0,0.0,120.0
300,Super built-up  Area,Ready To Move,AS Rao Nagar,4 BHK,Ahriaup,1863,3.0,2.0,104.0
301,Super built-up  Area,Ready To Move,Malkajgiri,2 BHK,Priewhi,1010,2.0,1.0,29.5
302,Super built-up  Area,Ready To Move,Malkajgiri,3 BHK,Shodsth,1425,2.0,1.0,70.0
303,Super built-up  Area,Ready To Move,Malkajgiri,3 BHK,Swadeh ,1450,3.0,0.0,100.0
304,Super built-up  Area,Ready To Move,Malkajgiri,3 BHK,Somumys,1847,3.0,2.0,105.0
305,Super built-up  Area,Ready To Move,Malkajgiri,2 BHK,Soran U,1100,2.0,3.0,45.0
306,Super built-up  Area,20-Dec,Malkajgiri,1 BHK,PrarePa,525,1.0,1.0,26.0
307,Super built-up  Area,Ready To Move,Malkajgiri,3 BHK,Puestig,1665,3.0,2.0,95.0
308,Super built-up  Area,Ready To Move,Malkajgiri,4 BHK,Prntsrt,1664,4.0,3.0,65.0
309,Super built-up  Area,Ready To Move,Malkajgiri,3 BHK,Maerar ,1850,3.0,3.0,150.0
310,Super built-up  Area,Ready To Move,Malkajgiri,2 BHK,Vaesh T,1438,2.0,3.0,100.0
311,Super built-up  Area,Ready To Move,Kokapet,3 BHK,MaisePa,1560,3.0,3.0,115.0
313,Super built-up  Area,Ready To Move,Kondapur,3 BHK,JRrnauv,1550,3.0,3.0,67.0
317,Super built-up  Area,Ready To Move,Alwal,2 BHK,Gotis A,1280,2.0,2.0,75.0
319,Super built-up  Area,Ready To Move,West Marredpally,2 BHK,Puodse ,1113,2.0,1.0,51.0
320,Super built-up  Area,Ready To Move,Mettuguda,2 BHK,Mileeou,1385,2.0,1.0,83.09
321,Super built-up  Area,18-Apr,Banjara Hills,2 BHK,Prarkun,1128,2.0,1.0,65.0
324,Super built-up  Area,Ready To Move,Kondapur,3 BHK,PhestOn,2390,3.0,2.0,415.0
326,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,NRowse ,1464,3.0,2.0,56.0
328,Super built-up  Area,Ready To Move,Jubilee Hills,2 BHK,Abncy R,1200,2.0,2.0,52.0
329,Super built-up  Area,Ready To Move,Jubilee Hills,3 BHK,Baowsig,1150,2.0,1.0,55.0
330,Built-up  Area,Ready To Move,Kondapur,3 BHK,Itala A,1645,3.0,2.0,95.0
333,Super built-up  Area,Ready To Move,Narsingi,2 BHK,HMinebo,1192,2.0,2.0,74.0
334,Super built-up  Area,Ready To Move,Nizampet,3 BHK,K borja,2135,3.0,2.0,215.0
335,Super built-up  Area,19-Dec,Nizampet,2 BHK,Oreldhi,1173,2.0,1.0,58.0
336,Built-up  Area,Ready To Move,Narsingi,2 BHK,Sungspr,1020,2.0,2.0,45.0
337,Super built-up  Area,Ready To Move,Narsingi,4 BHK,Prtanha,3122,6.0,2.0,230.0
341,Super built-up  Area,Ready To Move,Nizampet,2 BHK,Clntsrt,1250,2.0,2.0,40.0
342,Super built-up  Area,Ready To Move,Nizampet,2 BHK,PuamaPa,1325,2.0,2.0,76.0
343,Built-up  Area,Ready To Move,Nizampet,3 BHK,Brngsal,1850,3.0,1.0,150.0
347,Super built-up  Area,18-Jun,Sri Nagar Colony,3 BHK,SSestth,1260,3.0,1.0,49.36
348,Super built-up  Area,Ready To Move,Malkajgiri,3 BHK,Vancy R,1800,3.0,0.0,150.0
349,Plot  Area,18-Dec,Malkajgiri,3 Bedroom,PrhyaK ,11,3.0,2.0,74.0
350,Built-up  Area,Ready To Move,Mehdipatnam,2 BHK,Miwel M,1100,2.0,1.0,43.25
351,Super built-up  Area,Ready To Move,Gajularamaram,2 BHK,SrEndPo,1508,2.0,1.0,77.0
352,Carpet  Area,Ready To Move,Venkat Nagar Colony,3 BHK,Puens G,1592,3.0,2.0,75.0
353,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,SagasSa,1388,2.0,3.0,57.0
354,Super built-up  Area,18-May,Kokapet,1 BHK,SNbay G,630,1.0,1.0,28.35
358,Super built-up  Area,Ready To Move,Kondapur,4 BHK,Soianal,3252,5.0,3.0,335.0
359,Super built-up  Area,18-Aug,Tellapur,2 BHK,Vrenty ,1116,2.0,1.0,50.0
360,Super built-up  Area,Ready To Move,Banjara Hills,2 BHK,AriosHe,1308,2.0,2.0,89.04
364,Super built-up  Area,Ready To Move,Gajularamaram,2 BHK,SLureSi,1075,2.0,1.0,52.0
365,Super built-up  Area,18-Mar,Gajularamaram,1 BHK,Siissi ,530,1.0,0.0,11.66
367,Super built-up  Area,Ready To Move,Chandanagar,2 BHK,Mangsr ,1075,2.0,2.0,60.0
368,Built-up  Area,Ready To Move,Nanakramguda,2 BHK,HovasTe,930,2.0,2.0,39.0
369,Super built-up  Area,Ready To Move,Gopanpally,2 BHK,Exncene,1380,2.0,1.0,60.0
370,Super built-up  Area,Ready To Move,Serilingampally,4 BHK,Prersis,2483,5.0,2.0,212.0
371,Built-up  Area,Ready To Move,Somajiguda,2 BHK,Shyas S,1166,2.0,2.0,55.0
372,Super built-up  Area,Ready To Move,Banjara Hills,2 BHK,NadelCi,1050,2.0,1.0,65.0
373,Super built-up  Area,19-Mar,Banjara Hills,3 BHK,Sothadr,2023.71,3.0,2.0,275.0
374,Super built-up  Area,Ready To Move,Gachibowli,2 BHK,Dhalsh ,1200,2.0,2.0,46.8
375,Super built-up  Area,Ready To Move,Nagole,3 BHK,Puarent,1600,2.0,1.0,108.0
376,Super built-up  Area,Ready To Move,Nagole,3 BHK,MaionPa,1935,3.0,2.0,110.0
377,Super built-up  Area,18-May,Kukatpally,1 BHK,Maian M,451,1.0,0.0,29.9
378,Super built-up  Area,Ready To Move,Uppal Kalan,3 BHK,ShstaAl,1800,3.0,2.0,95.0
379,Super built-up  Area,18-May,Puppalaguda,3 BHK,Shard T,1400,3.0,0.0,77.0
380,Super built-up  Area,Ready To Move,Madhapur,3 BHK,SoitaCa,1801,3.0,2.0,115.0
383,Super built-up  Area,Ready To Move,Krishna Reddy Pet,2 BHK,Dhalsh ,1160,2.0,2.0,44.0
385,Super built-up  Area,Ready To Move,Hitech City,2 BHK,Wiowsri,950,2.0,1.0,40.0
388,Super built-up  Area,21-Jun,AS Rao Nagar,3 BHK,Saityat,1826,3.0,2.0,121.0
389,Built-up  Area,Ready To Move,Banjara Hills,2 BHK,Eladero,1245,2.0,1.0,94.0
390,Super built-up  Area,Ready To Move,Banjara Hills,2 BHK,Lancyey,1145,2.0,2.0,45.79
391,Super built-up  Area,Ready To Move,LB Nagar,2 BHK,Suiseit,825,2.0,1.0,33.0
392,Super built-up  Area,18-Aug,Bolarum,3 BHK,Aroomba,1693,3.0,3.0,108.0
393,Super built-up  Area,Ready To Move,Miyapur,2 BHK,Courf T,1113.27,2.0,2.0,53.0
394,Built-up  Area,Ready To Move,Jubilee Hills,2 BHK,VMowsea,1460,2.0,1.0,58.0
395,Built-up  Area,Ready To Move,Jubilee Hills,2 BHK,S onsMa,1050,2.0,1.0,32.0
396,Built-up  Area,Ready To Move,Jubilee Hills,2 BHK,Tuentpa,1260,2.0,2.0,55.0
398,Built-up  Area,Ready To Move,Banjara Hills,2 BHK,Tovesee,1656,2.0,1.0,120.0
399,Super built-up  Area,Ready To Move,Banjara Hills,3 BHK,Vailsaf,1208,3.0,1.0,45.0
400,Super built-up  Area,Ready To Move,Madhapur,3 BHK,BrlisCo,1910,3.0,2.0,161.0
401,Super built-up  Area,Ready To Move,Hitech City,4 BHK,Haestt ,3252,4.0,1.0,230.0
404,Super built-up  Area,Ready To Move,Nanakramguda,2 BHK,BriumMi,1175,2.0,1.0,82.0
407,Super built-up  Area,Ready To Move,Puppalaguda,3 BHK,PhestOn,2390,3.0,2.0,410.0
412,Super built-up  Area,Ready To Move,Nizampet,2 BHK,VBvenal,750,2.0,1.0,38.0
414,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,JRrnauv,1550,3.0,3.0,64.5
415,Built-up  Area,Ready To Move,Kukatpally,3 BHK,Hoeatan,1760,3.0,2.0,88.0
416,Super built-up  Area,Ready To Move,Mehdipatnam,2 BHK,Asity S,1125,2.0,2.0,62.0
421,Super built-up  Area,Ready To Move,Bachupally,3 BHK,PrityTr,1991,4.0,2.0,103.0
422,Super built-up  Area,18-Oct,Bachupally,2 BHK,DSoodil,1060,2.0,1.0,26.5
423,Super built-up  Area,Ready To Move,Bachupally,2 BHK,SJarkte,1105,2.0,1.0,75.0
424,Built-up  Area,Ready To Move,Bachupally,2 BHK,Dhgraas,985,2.0,2.0,67.0
426,Super built-up  Area,17-Jul,Mallapur,3 BHK,HiqueMa,1590,3.0,2.0,79.0
427,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,Srshq T,1120,2.0,2.0,55.0
428,Super built-up  Area,Ready To Move,Mehdipatnam,2 BHK,SPontna,1069,2.0,1.0,55.0
429,Super built-up  Area,Ready To Move,Hitech City,3 BHK,Prionad,1933,3.0,2.0,140.0
430,Built-up  Area,16-Mar,Mallapur,2 BHK,PuendWe,1194,2.0,0.0,69.0
431,Super built-up  Area,Ready To Move,Masab Tank,2 BHK,Danna S,1150,2.0,3.0,69.0
433,Super built-up  Area,Ready To Move,Madhura Nagar,2 BHK,GrrvaGr,1419,2.0,2.0,48.1
436,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,MSanaer,1450,3.0,2.0,55.0
437,Super built-up  Area,18-Jul,Miyapur,3 BHK,Plowsri,1630,3.0,2.0,68.29
438,Super built-up  Area,Ready To Move,Miyapur,2 BHK,Tavenew,708,1.0,1.0,40.0
